id,title,price
143,D Jual Murah 500,500
144,Dijual Hendphone,1000
145,Hp Comi Dumai Land,20
146,Gogo Dinual Murah ,2000
147,Lenovo A390 Wifi Only,35000
148,Memory 2GB Sebarang Merk,20000
149,Head Charger Huawei Ori ,25000
150,Realme 5i 4/64 Mulus No Minus ,1450
151,Charger Keren 3 A,29000
152,Jual Aja Nih Hp Vivo Y15s ,1200
153,Redmi 9C Full set,13
154,Silikon Hp Abu Abu,20000
155,Box Akrilik Jam Tangan,25000
156,Case HP Murah Meriah,15000
157,Cassing oppo A1k,10000
158,oppo a16 3/32gb,1650
159,Oppo 9A Fullset No Minus,2800
160,Oppo f1s 3/32,500
161,handphone,350
162,bajuknhai,2505
163,Mbhhhhhh,11111
164,Yoo join,250
165,Vape modd,250
166,Diamondlock,8000
167,Aplikasi penghasil pulsa,5000
168,Code wifi gratis,2000
169,QR CODE,500
170,Handpon,1300
171,Hp samsung note 4,750
172,Semua operator,6000
173,Jual koin higs slot,8000
174,Game onlennnn,2500
175,Hp harting angkut,850
176,Hp oppo a31 ram6/128 fulset 1650 ,1650
177,Voucher Google play 10.000,11500
178,Hp second,600
